[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team02/basic'
[claude_code/PPO] opponent pool 초기화 = iter0 정책 1개 (최대 5개, EMA α=0.1, 추가 임계 min-EMA≥0.60, 초기 EMA=0.5, 샘플 τ=0.3)
[claude_code/PPO] snapshot 저장: claude_code\models\team02\basic (iter 0 = 초기 network)
iter  52 | step 2599896 | return   -1.869 | len 1614.3 | damage  0.008 | shaping  -3.392 | ent  9.645 | kl 0.0384 | ev  0.961 | altT 0 | pool5 W/L/D 12/1/20 raw_wr 0.36 ema[min 0.269 mean 0.778]
iter  53 | step 2649894 | return   -2.033 | len 1472.5 | damage  0.096 | shaping  -3.600 | ent  9.645 | kl 0.0422 | ev  0.954 | altT 1 | pool5 W/L/D 15/1/18 raw_wr 0.44 ema[min 0.257 mean 0.779]
iter  54 | step 2699892 | return   -2.769 | len 1587.1 | damage  0.048 | shaping  -2.816 | ent  9.643 | kl 0.0403 | ev  0.884 | altT 2 | pool5 W/L/D 8/2/19 raw_wr 0.28 ema[min 0.236 mean 0.755]
iter  55 | step 2749890 | return   -3.052 | len 1368.4 | damage -0.015 | shaping  -3.454 | ent  9.545 | kl 0.0411 | ev  0.963 | altT 3 | pool5 W/L/D 15/3/18 raw_wr 0.42 ema[min 0.221 mean 0.762]
iter  56 | step 2799888 | return   -0.938 | len 1713.9 | damage  0.013 | shaping  -2.118 | ent  9.579 | kl 0.0410 | ev  0.804 | altT 0 | pool5 W/L/D 8/0/22 raw_wr 0.27 ema[min 0.212 mean 0.752]
iter  57 | step 2849886 | return   -1.501 | len 1578.7 | damage -0.021 | shaping  -3.043 | ent  9.563 | kl 0.0399 | ev  0.920 | altT 0 | pool5 W/L/D 11/1/20 raw_wr 0.34 ema[min 0.205 mean 0.739]
iter  58 | step 2899884 | return   -0.317 | len 1388.0 | damage -0.006 | shaping  -2.255 | ent  9.544 | kl 0.0410 | ev  0.950 | altT 1 | pool5 W/L/D 18/1/17 raw_wr 0.50 ema[min 0.201 mean 0.743]
iter  59 | step 2949882 | return    0.313 | len 1316.9 | damage -0.000 | shaping  -2.379 | ent  9.480 | kl 0.0393 | ev  0.962 | altT 0 | pool5 W/L/D 21/1/17 raw_wr 0.54 ema[min 0.200 mean 0.749]
iter  60 | step 2999880 | return   -2.040 | len 1500.3 | damage  0.018 | shaping  -2.527 | ent  9.443 | kl 0.0384 | ev  0.936 | altT 2 | pool5 W/L/D 12/2/18 raw_wr 0.38 ema[min 0.197 mean 0.758]
iter  61 | step 3049878 | return    0.553 | len 1665.2 | damage  0.000 | shaping  -1.383 | ent  9.318 | kl 0.0384 | ev  0.927 | altT 0 | pool5 W/L/D 13/0/18 raw_wr 0.42 ema[min 0.205 mean 0.768]
iter  62 | step 3099876 | return    0.527 | len 1719.0 | damage  0.003 | shaping  -1.545 | ent  9.466 | kl 0.0374 | ev  0.950 | altT 0 | pool5 W/L/D 13/0/16 raw_wr 0.45 ema[min 0.219 mean 0.771]
iter  63 | step 3149874 | return   -0.441 | len 1570.6 | damage  0.007 | shaping  -1.578 | ent  9.388 | kl 0.0410 | ev  0.924 | altT 1 | pool5 W/L/D 13/3/15 raw_wr 0.42 ema[min 0.220 mean 0.773]
iter  64 | step 3199872 | return    0.025 | len 1434.3 | damage  0.029 | shaping  -1.861 | ent  9.343 | kl 0.0397 | ev  0.949 | altT 1 | pool5 W/L/D 20/1/14 raw_wr 0.57 ema[min 0.232 mean 0.779]
iter  65 | step 3249870 | return    0.679 | len 1597.4 | damage  0.019 | shaping  -1.114 | ent  9.437 | kl 0.0400 | ev  0.933 | altT 0 | pool5 W/L/D 14/2/15 raw_wr 0.45 ema[min 0.238 mean 0.787]
iter  66 | step 3299868 | return    0.628 | len 1455.1 | damage  0.052 | shaping  -2.071 | ent  9.383 | kl 0.0372 | ev  0.955 | altT 0 | pool5 W/L/D 19/1/14 raw_wr 0.56 ema[min 0.249 mean 0.795]
iter  67 | step 3349866 | return    0.385 | len 1377.2 | damage -0.008 | shaping  -2.040 | ent  9.335 | kl 0.0394 | ev  0.954 | altT 0 | pool5 W/L/D 19/2/16 raw_wr 0.51 ema[min 0.250 mean 0.794]
iter  68 | step 3399864 | return   -1.829 | len 1533.5 | damage  0.000 | shaping  -1.991 | ent  9.360 | kl 0.0382 | ev  0.929 | altT 3 | pool5 W/L/D 13/3/15 raw_wr 0.42 ema[min 0.253 mean 0.800]
iter  69 | step 3449862 | return    0.489 | len 1330.4 | damage  0.059 | shaping  -2.262 | ent  9.308 | kl 0.0392 | ev  0.961 | altT 0 | pool5 W/L/D 23/0/16 raw_wr 0.59 ema[min 0.264 mean 0.807]
iter  70 | step 3499860 | return    0.341 | len 1601.0 | damage  0.130 | shaping  -1.508 | ent  9.269 | kl 0.0391 | ev  0.945 | altT 0 | pool5 W/L/D 14/1/17 raw_wr 0.44 ema[min 0.272 mean 0.806]
iter  71 | step 3549858 | return   -0.170 | len 1527.3 | damage -0.008 | shaping  -1.447 | ent  9.246 | kl 0.0386 | ev  0.936 | altT 1 | pool5 W/L/D 14/3/18 raw_wr 0.40 ema[min 0.263 mean 0.794]
iter  72 | step 3599856 | return   -0.211 | len 1400.1 | damage  0.000 | shaping  -2.044 | ent  9.300 | kl 0.0402 | ev  0.940 | altT 1 | pool5 W/L/D 15/1/14 raw_wr 0.50 ema[min 0.263 mean 0.793]
iter  73 | step 3649854 | return   -0.450 | len 1614.7 | damage  0.000 | shaping  -1.480 | ent  9.204 | kl 0.0379 | ev  0.912 | altT 1 | pool5 W/L/D 12/2/20 raw_wr 0.35 ema[min 0.257 mean 0.791]
iter  74 | step 3699852 | return    0.202 | len 1317.4 | damage  0.000 | shaping  -1.326 | ent  9.098 | kl 0.0390 | ev  0.948 | altT 2 | pool5 W/L/D 19/2/15 raw_wr 0.53 ema[min 0.261 mean 0.791]
iter  75 | step 3749850 | return    0.725 | len 1511.1 | damage -0.022 | shaping  -1.597 | ent  9.121 | kl 0.0384 | ev  0.937 | altT 0 | pool5 W/L/D 15/2/15 raw_wr 0.47 ema[min 0.261 mean 0.797]
iter  76 | step 3799848 | return    1.283 | len 1551.1 | damage  0.114 | shaping  -0.974 | ent  9.140 | kl 0.0392 | ev  0.933 | altT 0 | pool5 W/L/D 17/2/16 raw_wr 0.49 ema[min 0.270 mean 0.794]
iter  77 | step 3849846 | return    1.027 | len 1310.6 | damage  0.033 | shaping  -0.763 | ent  8.993 | kl 0.0375 | ev  0.933 | altT 1 | pool5 W/L/D 17/2/18 raw_wr 0.46 ema[min 0.268 mean 0.788]
iter  78 | step 3899844 | return    1.307 | len 1409.3 | damage  0.040 | shaping  -0.955 | ent  9.140 | kl 0.0376 | ev  0.940 | altT 0 | pool5 W/L/D 18/0/18 raw_wr 0.50 ema[min 0.269 mean 0.795]
iter  79 | step 3949842 | return    1.645 | len 1393.9 | damage  0.039 | shaping  -0.763 | ent  9.109 | kl 0.0368 | ev  0.953 | altT 0 | pool5 W/L/D 20/1/17 raw_wr 0.53 ema[min 0.275 mean 0.802]
iter  80 | step 3999840 | return    0.641 | len 1517.5 | damage  0.011 | shaping  -0.464 | ent  8.987 | kl 0.0371 | ev  0.952 | altT 1 | pool5 W/L/D 13/2/17 raw_wr 0.41 ema[min 0.270 mean 0.786]
iter  81 | step 4049838 | return    1.470 | len 1251.8 | damage -0.002 | shaping  -1.220 | ent  9.041 | kl 0.0389 | ev  0.855 | altT 1 | pool5 W/L/D 26/3/10 raw_wr 0.67 ema[min 0.286 mean 0.793]
iter  82 | step 4099836 | return    0.673 | len 1155.4 | damage  0.017 | shaping  -0.972 | ent  8.939 | kl 0.0381 | ev  0.936 | altT 3 | pool5 W/L/D 27/3/13 raw_wr 0.63 ema[min 0.294 mean 0.797]
iter  83 | step 4149834 | return    1.568 | len 1108.1 | damage  0.042 | shaping  -1.191 | ent  8.874 | kl 0.0384 | ev  0.941 | altT 1 | pool5 W/L/D 31/1/14 raw_wr 0.67 ema[min 0.311 mean 0.805]
iter  84 | step 4199832 | return    1.417 | len 1317.5 | damage  0.000 | shaping  -0.820 | ent  8.905 | kl 0.0374 | ev  0.935 | altT 1 | pool5 W/L/D 21/1/16 raw_wr 0.55 ema[min 0.315 mean 0.811]
iter  85 | step 4249830 | return    1.061 | len 1178.3 | damage  0.052 | shaping  -1.064 | ent  8.771 | kl 0.0360 | ev  0.953 | altT 2 | pool5 W/L/D 27/2/12 raw_wr 0.66 ema[min 0.333 mean 0.813]
iter  86 | step 4299828 | return    0.739 | len 1508.8 | damage -0.011 | shaping  -0.279 | ent  8.941 | kl 0.0367 | ev  0.856 | altT 1 | pool5 W/L/D 15/2/17 raw_wr 0.44 ema[min 0.318 mean 0.809]
iter  87 | step 4349826 | return    2.212 | len 1474.2 | damage  0.001 | shaping  -0.288 | ent  8.858 | kl 0.0364 | ev  0.906 | altT 0 | pool5 W/L/D 18/1/15 raw_wr 0.53 ema[min 0.324 mean 0.811]
iter  88 | step 4399824 | return    2.390 | len 1485.6 | damage  0.051 | shaping  -0.014 | ent  8.912 | kl 0.0372 | ev  0.932 | altT 0 | pool5 W/L/D 18/0/16 raw_wr 0.53 ema[min 0.326 mean 0.812]
