[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team01/ppo_phase1'
[claude_code/PPO] opponent 초기화 = iter0 정책 (EMA α=0.05, 승격 임계 EMA≥0.60, 초기 EMA=0.5)
[claude_code/PPO] snapshot 저장: claude_code\models\team01\ppo_phase1 (iter 0 = 초기 network)
iter  69 | step 6899724 | return    2.542 | len 1267.9 | damage  0.004 | dist -2.277 | aim  0.005 | ent  5.449 | kl 0.0206 | ev  0.855 | opp(gen3) W/L/D 39/3/37 raw_wr 0.49 ema 0.515
iter  70 | step 6999720 | return    3.146 | len 1160.0 | damage  0.013 | dist -1.873 | aim  0.006 | ent  5.404 | kl 0.0208 | ev  0.866 | opp(gen3) W/L/D 47/3/36 raw_wr 0.55 ema 0.517
iter  71 | step 7099716 | return    2.298 | len 1300.9 | damage  0.013 | dist -2.077 | aim  0.004 | ent  5.401 | kl 0.0206 | ev  0.878 | opp(gen3) W/L/D 39/2/37 raw_wr 0.50 ema 0.516
iter  72 | step 7199712 | return    2.440 | len 1297.9 | damage  0.023 | dist -1.946 | aim  0.003 | ent  5.241 | kl 0.0206 | ev  0.822 | opp(gen3) W/L/D 35/2/41 raw_wr 0.45 ema 0.513
iter  73 | step 7299708 | return    2.527 | len 1279.5 | damage  0.020 | dist -1.787 | aim  0.009 | ent  5.334 | kl 0.0222 | ev  0.808 | opp(gen3) W/L/D 39/4/34 raw_wr 0.51 ema 0.512
iter  74 | step 7399704 | return    2.816 | len 1216.1 | damage  0.037 | dist -1.090 | aim  0.014 | ent  5.334 | kl 0.0221 | ev  0.819 | opp(gen3) W/L/D 37/5/41 raw_wr 0.45 ema 0.509
iter  75 | step 7499700 | return    2.655 | len 1264.6 | damage  0.020 | dist -0.837 | aim  0.010 | ent  5.144 | kl 0.0213 | ev  0.859 | opp(gen3) W/L/D 32/6/40 raw_wr 0.41 ema 0.504
iter  76 | step 7599696 | return    4.577 | len 1073.2 | damage  0.052 | dist -0.377 | aim  0.006 | ent  5.153 | kl 0.0208 | ev  0.850 | opp(gen3) W/L/D 53/7/36 raw_wr 0.55 ema 0.507
iter  77 | step 7699692 | return    3.713 | len 1323.6 | damage  0.027 | dist -0.247 | aim  0.014 | ent  5.193 | kl 0.0213 | ev  0.839 | opp(gen3) W/L/D 33/3/38 raw_wr 0.45 ema 0.504
iter  78 | step 7799688 | return    2.664 | len 1373.0 | damage  0.056 | dist -0.237 | aim  0.008 | ent  5.143 | kl 0.0217 | ev  0.855 | opp(gen3) W/L/D 31/6/37 raw_wr 0.42 ema 0.499
iter  79 | step 7899684 | return    4.454 | len 1251.3 | damage  0.046 | dist  0.363 | aim  0.019 | ent  5.203 | kl 0.0207 | ev  0.855 | opp(gen3) W/L/D 34/3/40 raw_wr 0.44 ema 0.496
iter  80 | step 7999680 | return    5.532 | len 1180.2 | damage  0.041 | dist  0.820 | aim  0.028 | ent  5.210 | kl 0.0202 | ev  0.859 | opp(gen3) W/L/D 45/3/36 raw_wr 0.54 ema 0.498
iter  81 | step 8099676 | return    4.047 | len 1313.6 | damage  0.037 | dist  0.574 | aim  0.018 | ent  5.210 | kl 0.0204 | ev  0.874 | opp(gen3) W/L/D 33/5/41 raw_wr 0.42 ema 0.494
iter  82 | step 8199672 | return    4.332 | len 1424.7 | damage  0.032 | dist  0.897 | aim  0.021 | ent  5.125 | kl 0.0198 | ev  0.850 | opp(gen3) W/L/D 30/3/35 raw_wr 0.44 ema 0.492
iter  83 | step 8299668 | return    4.684 | len 1307.2 | damage  0.026 | dist  0.764 | aim  0.019 | ent  5.083 | kl 0.0201 | ev  0.884 | opp(gen3) W/L/D 36/3/41 raw_wr 0.45 ema 0.490
