iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_shaping,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
80,3999840,0.6407,1517.5,32,-0.03748,0.00146,8.9875,0.03709,0.9524,0.0000,0.0105,-0.4635,1.0938,108.49,13,2,17,0.4062,0.7861,0.2696,5,0,1
81,4049838,1.4703,1251.8,39,-0.02846,0.00197,9.0411,0.03893,0.8550,0.0000,-0.0024,-1.2196,2.6923,108.37,26,3,10,0.6667,0.7932,0.2855,5,0,1
82,4099836,0.6735,1155.4,43,-0.02259,0.00132,8.9388,0.03813,0.9360,0.0000,0.0172,-0.9717,1.6279,108.37,27,3,13,0.6279,0.7974,0.2945,5,0,3
83,4149834,1.5684,1108.1,46,-0.03963,0.00107,8.8744,0.03845,0.9414,0.0000,0.0418,-1.1908,2.7174,109.27,31,1,14,0.6739,0.8047,0.3112,5,0,1
84,4199832,1.4170,1317.5,38,-0.02319,0.00106,8.9049,0.03743,0.9346,0.0000,0.0000,-0.8198,2.2368,108.90,21,1,16,0.5526,0.8111,0.3147,5,0,1
85,4249830,1.0608,1178.3,41,-0.02503,0.00095,8.7707,0.03597,0.9526,0.0000,0.0521,-1.0645,2.0732,108.34,27,2,12,0.6585,0.8134,0.3332,5,0,2
86,4299828,0.7393,1508.8,34,-0.02942,0.00108,8.9412,0.03670,0.8560,0.0000,-0.0114,-0.2787,1.0294,108.41,15,2,17,0.4412,0.8090,0.3181,5,0,1
87,4349826,2.2122,1474.2,34,-0.02726,0.00140,8.8575,0.03645,0.9064,0.0000,0.0006,-0.2884,2.5000,109.05,18,1,15,0.5294,0.8106,0.3238,5,0,0
88,4399824,2.3898,1485.6,34,-0.04143,0.00101,8.9122,0.03724,0.9318,0.0000,0.0513,-0.0144,2.3529,108.05,18,0,16,0.5294,0.8121,0.3262,5,0,0
89,4449822,0.9934,1406.2,36,-0.03837,0.00098,8.8719,0.03595,0.9574,0.0000,-0.0262,-0.7860,1.8056,107.95,18,2,16,0.5000,0.8159,0.3186,5,0,1
90,4499820,0.9333,1176.8,40,-0.02261,0.00392,8.7491,0.03873,0.9193,0.0000,0.0393,-0.8560,1.7500,108.44,29,3,8,0.7250,0.8191,0.3507,5,0,3
91,4549818,2.7312,1469.1,33,-0.04794,0.00110,8.8611,0.03632,0.9524,0.0000,-0.0026,0.3096,2.4242,108.73,17,0,16,0.5152,0.8226,0.3490,5,0,0
92,4599816,2.9142,1283.5,40,-0.04834,0.00106,8.6931,0.03668,0.9274,0.0000,0.0163,-0.3521,3.2500,108.53,26,0,14,0.6500,0.8306,0.3658,5,0,0
93,4649814,3.1796,1449.7,35,-0.03748,0.00098,8.7798,0.03593,0.9489,0.0000,0.0035,0.6047,2.5714,107.98,18,2,15,0.5143,0.8341,0.3663,5,0,0
94,4699812,2.4665,1154.5,43,-0.03665,0.00151,8.6772,0.03621,0.9482,0.0000,0.0116,-0.3358,2.7907,108.64,29,2,12,0.6744,0.8364,0.3705,5,0,1
95,4749810,2.5954,1418.5,35,-0.03969,0.00185,8.6557,0.03450,0.9609,0.0000,0.0040,1.0200,1.5714,107.89,16,2,17,0.4571,0.8242,0.3655,5,0,1
